IPC_MSG_ID_LIST count: 1174
 12560 = HIDV3ProductIDProp.UnsubscribeMsgID
 12561 = HIDV3ColorIDProp.GetMsgID
 12562 = HIDV3ColorIDProp.NotifyMsgID
 12563 = HIDV3ColorIDProp.GetRespMsgID
 12564 = HIDV3ColorIDProp.SubscribeMsgID
 12565 = HIDV3ColorIDProp.UnsubscribeMsgID
 12566 = HIDV3DeviceNameProp.GetMsgID
 12567 = HIDV3DeviceNameProp.NotifyMsgID
 12568 = HIDV3DeviceNameProp.GetRespMsgID
 12569 = HIDV3DeviceNameProp.SubscribeMsgID
 12570 = HIDV3DeviceNameProp.UnsubscribeMsgID
 12571 = HIDV3LeftDeviceSNProp.GetMsgID
 12572 = HIDV3LeftDeviceSNProp.NotifyMsgID
 12573 = HIDV3LeftDeviceSNProp.GetRespMsgID
 12574 = HIDV3LeftDeviceSNProp.SubscribeMsgID
 12575 = HIDV3LeftDeviceSNProp.UnsubscribeMsgID
 12576 = HIDV3FirmwareVersionProp.GetMsgID
 12577 = HIDV3FirmwareVersionProp.NotifyMsgID
 12578 = HIDV3FirmwareVersionProp.GetRespMsgID
 12579 = HIDV3FirmwareVersionProp.SubscribeMsgID
 12580 = HIDV3FirmwareVersionProp.UnsubscribeMsgID
 12581 = HIDV3DongleFirmwareVersionProp.GetMsgID
 12582 = HIDV3DongleFirmwareVersionProp.NotifyMsgID
 12583 = HIDV3DongleFirmwareVersionProp.GetRespMsgID
 12584 = HIDV3DongleFirmwareVersionProp.SubscribeMsgID
 12585 = HIDV3DongleFirmwareVersionProp.UnsubscribeMsgID
 12586 = HIDV3FullFirmwareVersionProp.GetMsgID
 12587 = HIDV3FullFirmwareVersionProp.NotifyMsgID
 12588 = HIDV3FullFirmwareVersionProp.GetRespMsgID
 12589 = HIDV3FullFirmwareVersionProp.SubscribeMsgID
 12590 = HIDV3FullFirmwareVersionProp.UnsubscribeMsgID
 12591 = HIDV3LeftDeviceBatteryProp.GetMsgID
 12592 = HIDV3LeftDeviceBatteryProp.NotifyMsgID
 12593 = HIDV3LeftDeviceBatteryProp.GetRespMsgID
 12594 = HIDV3LeftDeviceBatteryProp.SubscribeMsgID
 12595 = HIDV3LeftDeviceBatteryProp.UnsubscribeMsgID
 12596 = HIDV3RightDeviceBatteryProp.GetMsgID
 12597 = HIDV3RightDeviceBatteryProp.NotifyMsgID
 12598 = HIDV3RightDeviceBatteryProp.GetRespMsgID
 12599 = HIDV3RightDeviceBatteryProp.SubscribeMsgID
 12600 = HIDV3RightDeviceBatteryProp.UnsubscribeMsgID
 12601 = HIDV3FactoryResetProp.CommandMsgID
 12602 = HIDV3SecondaryDeviceFactoryResetProp.CommandMsgID
 12603 = HIDV3MobileAppConnectionStatusProp.GetMsgID
 12604 = HIDV3MobileAppConnectionStatusProp.NotifyMsgID
 12605 = HIDV3MobileAppConnectionStatusProp.GetRespMsgID
 12606 = HIDV3MobileAppConnectionStatusProp.SubscribeMsgID
 12607 = HIDV3MobileAppConnectionStatusProp.UnsubscribeMsgID
 12608 = HIDV3AutoPowerOffProp.GetMsgID
 12609 = HIDV3AutoPowerOffProp.SetMsgID
 12610 = HIDV3AutoPowerOffProp.NotifyMsgID
 12611 = HIDV3AutoPowerOffProp.GetRespMsgID
 12612 = HIDV3AutoPowerOffProp.SubscribeMsgID
 12613 = HIDV3AutoPowerOffProp.UnsubscribeMsgID
 12614 = HIDV3GameChatBalanceProp.GetMsgID
 12615 = HIDV3GameChatBalanceProp.SetMsgID
 12616 = HIDV3GameChatBalanceProp.NotifyMsgID
 12617 = HIDV3GameChatBalanceProp.GetRespMsgID
 12618 = HIDV3GameChatBalanceProp.SubscribeMsgID
 12619 = HIDV3GameChatBalanceProp.UnsubscribeMsgID
 12620 = HIDV3SpatialSoundModeProp.GetMsgID
 12621 = HIDV3SpatialSoundModeProp.SetMsgID
 12622 = HIDV3SpatialSoundModeProp.NotifyMsgID
 12623 = HIDV3SpatialSoundModeProp.GetRespMsgID
 12624 = HIDV3SpatialSoundModeProp.SubscribeMsgID
 12625 = HIDV3SpatialSoundModeProp.UnsubscribeMsgID
 12626 = HIDV3SidetoneProp.GetMsgID
 12627 = HIDV3SidetoneProp.SetMsgID
 12628 = HIDV3SidetoneProp.NotifyMsgID
 12629 = HIDV3SidetoneProp.GetRespMsgID
 12630 = HIDV3SidetoneProp.SubscribeMsgID
 12631 = HIDV3SidetoneProp.UnsubscribeMsgID
 12632 = HIDV3SpatialSoundRecenterProp.SetMsgID
 12633 = HIDV3BTConnectionStatusProp.GetMsgID
 12634 = HIDV3BTConnectionStatusProp.NotifyMsgID
 12635 = HIDV3BTConnectionStatusProp.GetRespMsgID
 12636 = HIDV3BTConnectionStatusProp.SubscribeMsgID
 12637 = HIDV3BTConnectionStatusProp.UnsubscribeMsgID
 12638 = HIDV3HeadphoneAndDongleConnectionStatusProp.GetMsgID
 12639 = HIDV3HeadphoneAndDongleConnectionStatusProp.NotifyMsgID
 12640 = HIDV3HeadphoneAndDongleConnectionStatusProp.GetRespMsgID
 12641 = HIDV3HeadphoneAndDongleConnectionStatusProp.SubscribeMsgID
 12642 = HIDV3HeadphoneAndDongleConnectionStatusProp.UnsubscribeMsgID
 12643 = HIDV3HostNamePairedToBTTDeviceProp.GetMsgID
 12644 = HIDV3HostNamePairedToBTTDeviceProp.NotifyMsgID
 12645 = HIDV3HostNamePairedToBTTDeviceProp.GetRespMsgID
 12646 = HIDV3HostNamePairedToBTTDeviceProp.SubscribeMsgID
 12647 = HIDV3HostNamePairedToBTTDeviceProp.UnsubscribeMsgID
 12648 = HIDV3AudioSignalDetectProp.GetMsgID
 12649 = HIDV3AudioSignalDetectProp.NotifyMsgID
 12650 = HIDV3AudioSignalDetectProp.GetRespMsgID
 12651 = HIDV3AudioSignalDetectProp.SubscribeMsgID
 12652 = HIDV3AudioSignalDetectProp.UnsubscribeMsgID
 12653 = HIDV3MicAvailabilityProp.GetMsgID
 12654 = HIDV3MicAvailabilityProp.NotifyMsgID
 12655 = HIDV3MicAvailabilityProp.GetRespMsgID
 12656 = HIDV3MicAvailabilityProp.SubscribeMsgID
 12657 = HIDV3MicAvailabilityProp.UnsubscribeMsgID
 12658 = HIDV3MicSignalStrengthProp.GetMsgID
 12659 = HIDV3MicSignalStrengthProp.NotifyMsgID
 12660 = HIDV3MicSignalStrengthProp.GetRespMsgID
 12661 = HIDV3MicSignalStrengthProp.SubscribeMsgID
 12662 = HIDV3MicSignalStrengthProp.UnsubscribeMsgID
 12663 = HIDV3MicRealTimeVoiceLevelProp.GetMsgID
 12664 = HIDV3MicRealTimeVoiceLevelProp.NotifyMsgID
 12665 = HIDV3MicRealTimeVoiceLevelProp.GetRespMsgID
 12666 = HIDV3MicRealTimeVoiceLevelProp.SubscribeMsgID
 12667 = HIDV3MicRealTimeVoiceLevelProp.UnsubscribeMsgID
 12668 = HIDV3MicMuteProp.GetMsgID
 12669 = HIDV3MicMuteProp.SetMsgID
 12670 = HIDV3MicMuteProp.NotifyMsgID
 12671 = HIDV3MicMuteProp.GetRespMsgID
 12672 = HIDV3MicMuteProp.SubscribeMsgID
 12673 = HIDV3MicMuteProp.UnsubscribeMsgID
 12674 = HIDV3MicVolumeProp.GetMsgID
 12675 = HIDV3MicVolumeProp.SetMsgID
 12676 = HIDV3MicVolumeProp.NotifyMsgID
 12677 = HIDV3MicVolumeProp.GetRespMsgID
 12678 = HIDV3MicVolumeProp.SubscribeMsgID
 12679 = HIDV3MicVolumeProp.UnsubscribeMsgID
 12680 = HIDV3MicEffectProp.GetMsgID
 12681 = HIDV3MicEffectProp.SetMsgID
 12682 = HIDV3MicEffectProp.NotifyMsgID
 12683 = HIDV3MicEffectProp.GetRespMsgID
 12684 = HIDV3MicEffectProp.SubscribeMsgID
 12685 = HIDV3MicEffectProp.UnsubscribeMsgID
 12686 = HIDV3MicEffectTestProp.GetMsgID
 12687 = HIDV3MicEffectTestProp.SetMsgID
 12688 = HIDV3MicEffectTestProp.NotifyMsgID
 12689 = HIDV3MicEffectTestProp.GetRespMsgID
